State,tier,share_start,share_end,d_share_pp,real_start,real_end,d_real,d_real_pct
DE,Other states,22.28670813997811,87.63242799026173,65.34571985028361,17.171485516682583,13.559999999999999,-3.6114855166825848,-21.031875857065042
OH,Gas-heavy contrast,2.5618787907322296,59.64177134847512,57.07989255774289,11.967088144225482,11.29,-0.6770881442254826,-5.657918919500904
PA,Gas-heavy contrast,8.491194194269374,59.59144251606742,51.10024832179804,13.737188413346066,12.51,-1.2271884133460667,-8.933330288706088
VA,Other states,13.91496867165497,59.39522942933554,45.48026075768057,10.771892236015859,10.62,-0.15189223601585944,-1.4100794241888814
IN,Other states,3.0709472211067776,41.08703710270224,38.01608988159546,9.833890384003242,11.38,1.546109615996759,15.722257983593257
NC,Other states,3.4251490529926225,41.124019670938466,37.69887061794584,11.846055647191596,11.65,-0.19605564719159574,-1.6550289229653847
MS,Other states,42.633096610829185,77.61583787011787,34.98274125928869,12.148636889776311,10.93,-1.2186368897763113,-10.031058635079093
MD,Other states,4.464182622372989,39.26652434835512,34.80234172598213,17.398421448621118,15.04,-2.358421448621119,-13.555376018368792
MI,Other states,11.014157278568987,44.874589865434075,33.86043258686509,12.905089996238098,14.16,1.2549100037619016,9.724147635760104
FL,Other states,44.49868523121201,76.84798215789256,32.34929692668055,15.628321179500537,12.53,-3.0983211795005374,-19.825041627405028
WI,Other states,10.236134267793204,40.20685043267741,29.97071616488421,12.829444685591922,12.72,-0.10944468559192089,-0.8530742231955823
GA,Other states,11.077073816419256,40.72554750878486,29.6484736923656,11.891442833579305,11.4,-0.4914428335793044,-4.132743523700566
AL,Other states,16.152665183122213,45.19885347183164,29.046188288709427,11.452700031831467,11.9,0.447299968168533,3.905628951472706
CT,CT,29.93426920315144,58.166938522850884,28.232669319699443,24.887307202592815,24.37,-0.5173072025928143,-2.078598533709264
LA,Other states,47.43552349060005,75.548288703087,28.11276521248695,12.693283126428799,8.8,-3.8932831264287984,-30.671994689242833
AR,Other states,15.320197165240476,40.1759977709057,24.855800605665227,10.529827241948087,9.59,-0.9398272419480875,-8.925381398510135
MA,Restructured NE / ISO-NE,52.94641905982829,77.4709883723988,24.52456931257052,22.935658187921405,23.94,1.0043418120785965,4.378953522282236
KY,Other states,1.8476020634090178,25.791065409656948,23.94346334624793,8.835372283473681,10.07,1.2346277165263189,13.973692074477228
TN,Other states,0.7589234868030017,21.641203723944376,20.882280237141373,10.696246925369678,10.9,0.20375307463032222,1.9049024957254357
MN,Other states,7.05330953543771,27.115958362611885,20.062648827174176,11.256022224151401,12.35,1.0939777758485985,9.7190442064099
NJ,Restructured NE / ISO-NE,29.92174800420831,49.27084218768033,19.34909418347202,19.682909830135717,16.29,-3.392909830135718,-17.23784673819401
NY,Restructured NE / ISO-NE,31.281904120784965,48.32404663213588,17.042142511350917,23.02643256069682,19.66,-3.3664325606968184,-14.61986155181888
ID,Other states,14.430876592670677,31.371642586500982,16.940765993830304,7.670434499522528,9.51,1.8395655004774714,23.982546237660742
SC,Other states,5.768311840193794,22.69856055529491,16.930248715101115,10.862666608791272,10.9,0.03733339120872792,0.3436853265708528
UT,Other states,16.36278743271679,33.131670586242244,16.768883153525454,9.69772882484012,9.97,0.2722711751598812,2.807576702521075
AZ,Other states,33.941143260023274,47.480467632091425,13.539324372068151,12.920219058367334,12.74,-0.18021905836733332,-1.3948607028502424
IL,Other states,3.76585506567812,16.289311339231496,12.523456273553375,12.79918656133345,12.21,-0.5891865613334488,-4.6033125504506
WY,Other states,1.3017326793749662,13.328841304718964,12.027108625343997,8.003273866365715,9.14,1.1367261336342853,14.20326422180118
OR,Other states,26.97578628512246,38.548311988220334,11.572525703097874,10.6206016147235,11.11,0.48939838527650004,4.608010007625563
WA,Other states,6.81127135203399,17.67371635875728,10.862445006723288,9.637212576323178,10.13,0.49278742367682327,5.113381278809914
NM,Other states,18.507551396009035,29.341554111975494,10.83400271596646,11.256022224151401,9.18,-2.0760222241514015,-18.443657828757654
MO,Other states,5.46265572745698,13.606683203811967,8.144027476354987,9.924664756778656,11.06,1.1353352432213448,11.439532427993582
IA,Other states,6.207928515927455,13.85745982481758,7.649531308890125,10.333149434268021,9.34,-0.9931494342680214,-9.611294606602904
WV,Other states,0.4139051758629644,7.4755758583813865,7.061670682518422,8.078919177011892,11.05,2.9710808229881085,36.77572157723959
ND,Other states,0.053080784861567684,5.7385131832905625,5.685432398428995,9.712857886969356,7.93,-1.7828578869693565,-18.355646790232726
OK,Other states,45.51541185728826,50.75246830403317,5.237056446744916,11.029086292212867,9.09,-1.9390862922128669,-17.58156787277988
SD,Other states,5.720459439706483,10.831356122467264,5.110896682760782,10.423923807043435,10.87,0.4460761929565642,4.279350091326939
KS,Other states,4.254819561377558,9.21708907638646,4.962269515008901,10.348278496397256,11.21,0.8617215036027446,8.327196682064098
MT,Other states,0.36629288367523927,3.703469404455041,3.337176520779802,10.787021298145094,10.83,0.042978701854906376,0.3984297487416466
CO,Other states,27.851232626440865,30.48859071748472,2.637358091043854,11.740152212286947,12.07,0.329847787713053,2.809569942098733
TX,Gas-heavy contrast,49.207169400821364,51.75500049877962,2.547831097958259,15.295481812657348,9.79,-5.505481812657349,-35.994170566771174
ME,Restructured NE / ISO-NE,41.38367655353387,43.66226053344422,2.2785839799103513,22.073301646554967,19.66,-2.4133016465549666,-10.93312493616747
NH,Restructured NE / ISO-NE,24.71956321496285,26.094073954584807,1.3745107396219574,21.150428856671585,20.6,-0.5504288566715836,-2.602447734755786
NE,Other states,3.421478589065601,3.710741237665849,0.28926264860024764,9.501051017160055,9.07,-0.4310510171600548,-4.5368771979176215
VT,Restructured NE / ISO-NE,0.032437080820704504,0.047279837761096045,0.014842756940391541,18.21539080359985,18.41,0.19460919640015106,1.0683778267424948
HI,Other states,0.0,0.0,0.0,32.20977327314292,38.0,5.790226726857078,17.97661435786968
RI,Restructured NE / ISO-NE,97.26132947055282,89.9170166963843,-7.344312774168529,19.84932951355731,24.15,4.300670486442687,21.666578125499303
AK,Other states,56.69721077457505,46.84527597763159,-9.85193479694346,20.091394507625083,22.17,2.078605492374919,10.34575022448565
NV,Other states,68.1464643607772,54.90958429115067,-13.23688006962653,15.113933067106519,11.47,-3.643933067106518,-24.109760516520073
CA,Other states,54.873985013847516,40.45712473876692,-14.416860275080595,19.36519952542177,27.04,7.67480047457823,39.631920468999525
